Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														
&ldquo;Can we not contrive that he somehow wash himself a little, that he stink not so shrewdly?&rdquo;	wash	literature	Giovanni Boccaccio	The Decameron	149	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

&ldquo;[W]e are now close to a well, which is never without the pulley and a large bucket; &rsquo;tis but a step thither, and we will wash him out of hand.&rdquo;	wash	literature	Giovanni Boccaccio	The Decameron	149	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

[T]hey determined to attach him to the rope, and lower him into the well, there to wash himself....	wash	literature	Giovanni Boccaccio	The Decameron	149	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

On Saturday ladies are wont to wash the head, and rid their persons of whatever of dust or other soilure they may have gathered by the labours of the past week....	wash	literature	Giovanni Boccaccio	The Decameron	257-258	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

She had been beautiful, much loved, unhappy, and she had died young.	wash	literature	Katherine Anne Porter	"Pale Horse, Pale Rider"	4	1936	The Modern Library New York	https://archive.org/stream/in.ernet.dli.2015.27876/2015.27876.Pale-Horse-Pale-Rider_djvu.txt	Archive.org																		
The visible remains were nothing; they were dust, perishable as the flesh...	wash	literature	Katherine Anne Porter	"Pale Horse, Pale Rider"	8	1936	The Modern Library New York	https://archive.org/stream/in.ernet.dli.2015.27876/2015.27876.Pale-Horse-Pale-Rider_djvu.txt	Archive.org																		
...and the moral seemed to be that one should always have Latin, or at least a good classical poetry quotation, to depend upon in great or desperate moments.	wash	literature	Katherine Anne Porter	"Pale Horse, Pale Rider"	15	1936	The Modern Library New York	https://archive.org/stream/in.ernet.dli.2015.27876/2015.27876.Pale-Horse-Pale-Rider_djvu.txt	Archive.org																		

I saw at once that something was very wrong.	wash	literature	Katherine Anne Porter	"Pale Horse, Pale Rider"	29	1936	The Modern Library New York	https://archive.org/stream/in.ernet.dli.2015.27876/2015.27876.Pale-Horse-Pale-Rider_djvu.txt	Archive.org																		

&ldquo;Mammy, I&rsquo;m sick of this world. I don&rsquo;t like anything in it. It&rsquo;s so dull.&rdquo;	wash	literature	Katherine Anne Porter	"Pale Horse, Pale Rider"	30	1936	The Modern Library New York	https://archive.org/stream/in.ernet.dli.2015.27876/2015.27876.Pale-Horse-Pale-Rider_djvu.txt	Archive.org																		
&ldquo;For Heaven's sake, it's too nice a day to be in the house. Why don&rsquo;t you go outdoors and get some exercise?&rdquo;	wash	literature	William Maxwell	They Came Like Swallows	5	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

Before this day was over, it too would be spoiled like all the others.	wash	literature	William Maxwell	They Came Like Swallows	8	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

